N,replica,metric,value
50,49,avg_shortest_path_lcc,1.3333333333333333
50,49,diameter_lcc,2.0
50,49,degree_assortativity_ud,-1.0
50,49,avg_clustering_ud,0.0
50,49,modularity_ud,0.0
50,50,n_nodes,50.0
50,50,n_edges,2.0
50,50,lcc_nodes,2.0
50,50,lcc_ratio,0.04
50,50,avg_shortest_path_lcc,1.0
50,50,diameter_lcc,1.0
50,50,degree_assortativity_ud,
50,50,avg_clustering_ud,0.0
50,50,modularity_ud,0.5
50,51,n_nodes,50.0
50,51,n_edges,3.0
50,51,lcc_nodes,3.0
50,51,lcc_ratio,0.06
50,51,avg_shortest_path_lcc,1.3333333333333333
50,51,diameter_lcc,2.0
50,51,degree_assortativity_ud,-0.4999999999999998
50,51,avg_clustering_ud,0.0
50,51,modularity_ud,0.4444444444444444
50,52,n_nodes,50.0
50,52,n_edges,4.0
50,52,lcc_nodes,3.0
50,52,lcc_ratio,0.06
50,52,avg_shortest_path_lcc,1.3333333333333333
50,52,diameter_lcc,2.0
50,52,degree_assortativity_ud,-0.3333333333333333
50,52,avg_clustering_ud,0.0
50,52,modularity_ud,0.625
50,53,n_nodes,50.0
50,53,n_edges,13.0
50,53,lcc_nodes,8.0
50,53,lcc_ratio,0.16
50,53,avg_shortest_path_lcc,1.75
50,53,diameter_lcc,2.0
50,53,degree_assortativity_ud,-0.6377952755905513
50,53,avg_clustering_ud,0.0
50,53,modularity_ud,0.6035502958579881
50,54,n_nodes,50.0
50,54,n_edges,31.0
50,54,lcc_nodes,32.0
50,54,lcc_ratio,0.64
50,54,avg_shortest_path_lcc,2.0544354838709675
50,54,diameter_lcc,4.0
50,54,degree_assortativity_ud,-0.8856058406718065
50,54,avg_clustering_ud,0.0
50,54,modularity_ud,0.08680555555555558
50,55,n_nodes,50.0
50,55,n_edges,2.0
50,55,lcc_nodes,2.0
50,55,lcc_ratio,0.04
50,55,avg_shortest_path_lcc,1.0
50,55,diameter_lcc,1.0
50,55,degree_assortativity_ud,
50,55,avg_clustering_ud,0.0
50,55,modularity_ud,0.4444444444444444
50,56,n_nodes,50.0
50,56,n_edges,2.0
50,56,lcc_nodes,2.0
50,56,lcc_ratio,0.04
50,56,avg_shortest_path_lcc,1.0
50,56,diameter_lcc,1.0
50,56,degree_assortativity_ud,
50,56,avg_clustering_ud,0.0
50,56,modularity_ud,0.5
50,57,n_nodes,50.0
50,57,n_edges,2.0
50,57,lcc_nodes,2.0
