source,target,type,weight
1.2230202341284168e+18,1.3675833718330573e+18,reply,1
1.2230202341284168e+18,1.3675875052859146e+18,reply,1
1.2230202341284168e+18,1192395565952360448,mention,1
1.2230202341284168e+18,1245340907190267905,mention,1
1.2248957218260255e+18,14994303,mention,1
1.262587959649411e+18,1.3672076595402588e+18,reply,1
1.262587959649411e+18,1.367543647697318e+18,reply,1
1.2806513031700398e+18,1.3675655483269038e+18,reply,1
1.2806513031700398e+18,1.3676050990827725e+18,reply,1
1.2806513031700398e+18,1.3676109323193795e+18,reply,1
1.2806513031700398e+18,1787819949764829185,mention,1
1.2835672279466353e+18,1.3596803852029379e+18,reply,1
1.2835672279466353e+18,1.3649082941087662e+18,reply,1
1.2835672279466353e+18,1.3660624899815752e+18,reply,1
1.2835672279466353e+18,1.366407060196311e+18,reply,1
1.2835672279466353e+18,1.367050722446033e+18,reply,1
1.2835672279466353e+18,1.3671120948821443e+18,reply,1
1.2835672279466353e+18,1.3671525612125143e+18,reply,1
1.2835672279466353e+18,1.3671572126243963e+18,reply,1
1.2835672279466353e+18,1.367186408843141e+18,reply,1
1.2835672279466353e+18,1.3671931341496197e+18,reply,1
1.2835672279466353e+18,1.3672277281901855e+18,reply,1
1.2835672279466353e+18,1.3672714979712082e+18,reply,1
1.2835672279466353e+18,1.3672719310205174e+18,reply,1
1.2835672279466353e+18,1.367272808611541e+18,reply,1
1.2835672279466353e+18,1.367273912673964e+18,reply,1
1.2835672279466353e+18,1.367277824646787e+18,reply,1
1.2835672279466353e+18,1.3672891133727293e+18,reply,1
1.2835672279466353e+18,1.3672901892703683e+18,reply,1
1.2835672279466353e+18,1.3673003372044206e+18,reply,1
1.2835672279466353e+18,1.3673028923030405e+18,reply,1
1.2835672279466353e+18,1.3673062753825874e+18,reply,1
1.2835672279466353e+18,1.367318566563967e+18,reply,1
1.2835672279466353e+18,1.3673744179411354e+18,reply,1
1.2835672279466353e+18,1.3674141998576476e+18,reply,1
1.2835672279466353e+18,1.3674265730124677e+18,reply,1
1.2835672279466353e+18,1.3674608610953994e+18,reply,1
1.2835672279466353e+18,1.3674723706052526e+18,reply,1
1.2835672279466353e+18,1.3674803126709166e+18,reply,1
1.2835672279466353e+18,1.3674840458573537e+18,reply,1
1.2835672279466353e+18,1.3674844565551514e+18,reply,1
1.2835672279466353e+18,1.3674901082204406e+18,reply,1
1.2835672279466353e+18,1.3674942580396646e+18,reply,1
1.2835672279466353e+18,1.367500884314366e+18,reply,1
1.2835672279466353e+18,1.367513918235693e+18,reply,1
1.2835672279466353e+18,1.3675161767509565e+18,reply,1
1.2835672279466353e+18,1.3675215446967173e+18,reply,1
1.2835672279466353e+18,1.3675256041873859e+18,reply,1
1.2835672279466353e+18,1.3675278544063078e+18,reply,1
1.2835672279466353e+18,1.3675304777756344e+18,reply,1
1.2835672279466353e+18,1.3675338308239483e+18,reply,1
1.2835672279466353e+18,1.3675354142659297e+18,reply,1
1.2835672279466353e+18,1.367551512063443e+18,reply,1
1.2835672279466353e+18,1.3675524266566083e+18,reply,1
1.2835672279466353e+18,1.367554790662828e+18,reply,1
1.2835672279466353e+18,1.3675653050740982e+18,reply,1
1.2835672279466353e+18,1.367574652445479e+18,reply,1
1.2835672279466353e+18,1.3675748385131725e+18,reply,1
1.2835672279466353e+18,1.367574908318978e+18,reply,1
1.2835672279466353e+18,1.3675779649264271e+18,reply,1
