tweet_id,user_id,created_at,text,reply_to,retweet_of,mentions_json
1367623952332447751,1157432955830190081,,@boninho nossa proposta para a dinâmica da semana é tocar o big fone com um desafio :\n \,,,[]
1367623880106512386,1347637771607937024,Thu Mar 04 23:51:56 +0000 2021,"Gente, esqueçam... a Juliette não vai pro paredão essa semana. Vai ser um paredão falso bem xoxo. Igual aquele do BBB19. #BBB21",,,[]
1367623853225226241,2873635127,Thu Mar 04 23:51:50 +0000 2021,Prontos pra semana do paredão fake? #BBB21,,,[]
1367623665672744961,84319494,Thu Mar 04 23:51:05 +0000 2021,Viih tube praticamente dizendo que o Gil tá desesperado com essa estratégia de votar em quem ainda não foi ao paredão. \nAcha que ele pode ter ido pro paredão com as pessoas \,,,[]
1367623642130055170,1044046329968775168,Thu Mar 04 23:51:00 +0000 2021,"Se Sarah for líder, ela manda Pocah pro paredão né ?\n\n#BBB21",,,[]
1367623575780360192,1360577465362624515,Thu Mar 04 23:50:44 +0000 2021,"Vitória está com MUITO medo de ir para o paredão por causa do que Gilberto falou de mandarem quem nunca foi, já meteu que isso é desespero. vou passar mal com a Vitória Regia #BBB21",,,[]
1367623493223866368,1124416697161723904,Thu Mar 04 23:50:24 +0000 2021,"Juliette se for para o paredão falso, não despiroca igual Anamara né?! \n\nJuju é centrada. Ela só iria confirmar a visão de jogo que tá certa\n\n#BBB21",,,[]
1367623457576542208,55389402,Thu Mar 04 23:50:16 +0000 2021,"Vitória e Thaís desesperadas para não cair no paredão porque o povo tá falando que agora tem que ir quem não foi. Rapaz, se cair no paredão é bate e sai #BBB21",,,[]
1356639005652246528,1354989646732800006,,@TupinambaThais @ssarahandrade @gshow Essa fic...\n\n1. Não tem que tirar Carla nada\n2. Ela está marcada para o paredão. Não vão mais deixar a menina em paz. \n\n#bbb21,1367620628619141125,,"[""1356639005652246528""]"
1367623378601971719,1058521625958772737,Thu Mar 04 23:49:57 +0000 2021,"Little Boni vai ter que mexer muito os pauzinhos pra nega Vih ir para algum paredão.\nPQP, a mina dá a volta em todo mundo vey!\nQue ódio!\n#BBB21",,,[]
1367623376714551297,1299058449825890309,,@chasempty .\n\nGilberto Carla Diaz Caio Fiuk Lumena Projota juliette thais Rodolfo um milhão da sarah Camilla De Lucas sarah líder Viih Tube Pocah Tiago Boninho Karol Conka João BBB Paredão  #BBB21 #RedeBBB #WandaVisionFinale  https://t.co/4UVeofhTbS,1367622417745670144,,[]
1367623354748928000,282655123,Thu Mar 04 23:49:51 +0000 2021,"to assistindo a eliminação da lumena e vejo o gil agarradinho com ela, ai que cheirinho de derrota #BBB21",,,[]
,,Thu Mar 04 23:49:50 +0000 2021,#BBB21\nJá pensaram se for thais no paredão falso? Os planos da psicóloga boninho cai por agua abaixo... 😂😂😂😂😂😂😂😴,,,[]
1367623346553290752,1358922398465163264,Thu Mar 04 23:49:49 +0000 2021,Viih tube com o cú na mão de ir para o paredão  #BBB21,,,[]
1367623332414291972,1362361015007084545,Thu Mar 04 23:49:46 +0000 2021,Torcendo p Projota ser líder e indicar a Juliette. Ou a Pocah ser e indicar a Sarah...alguém do G3 tinha q ir p esse paredão falso #bbb21,,,[]
1367623319936245761,967961279464984576,Thu Mar 04 23:49:43 +0000 2021,Isso do grupo falar q vota em quem n foi p paredão trancou real o koo das plantas\n\nElas vão na \,,,[]
1367623304077524992,309251100,Thu Mar 04 23:49:39 +0000 2021,"Tenho um medo real de acabar indo 3 merda pro paredão essa semana tipo Bananão, Probosta e um dos Bastião 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️\nQ Deus nos proteja 🙌🙏\n#RedeBBB #BBB21",,,[]
1367623284037156870,1299058449825890309,,@stileswolfts 😕\n\nGilberto Carla Diaz Caio Fiuk Lumena Projota juliette thais Rodolfo um milhão da sarah Camilla De Lucas sarah líder Viih Tube Pocah Tiago Boninho Karol Conka João BBB Paredão  #BBB21 #RedeBBB #WandaVisionFinale  https://t.co/4UVeofhTbS,1367602510513516550,,[]
1367521544696717315,3073189731,Thu Mar 04 23:49:21 +0000 2021,que mundo é esse tao cruel que a gente vive a covardia superando a pureza https://t.co/Mf0kjB54dG,,,[]
1367521544696717315,3073189731,Thu Mar 04 23:49:21 +0000 2021,@boninho manipule essa porra e coloque juliette no paredão falso agora\n#bbb21,,,"[""14994303""]"
1367623124028715013,2453561882,Thu Mar 04 23:48:56 +0000 2021,"Não queria paredão falso essa semana não, acho que nem nessa edição... Do jeito que o jogo tá não tem muito o que render, queria umas dinâmicas diferentes! #BBB21",,,[]
1367623072275173389,127892875,Thu Mar 04 23:48:44 +0000 2021,\,,,[]
1367622998908370949,3536042237,Thu Mar 04 23:48:26 +0000 2021,Viih cuspe claramente ficou mexida porque disseram que mandar ao paredão quem nao foi ainda seria um bom critério. \no c* nao passa nem wifi #BBB21,,,[]
1307204548268822528,706489853748355073,Thu Mar 04 23:47:53 +0000 2021,"@magogia12 @ofcoursezuzin Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",1367590629719437312,,"[""1307204548268822528""]"
1367622834281992192,58900872,Thu Mar 04 23:47:47 +0000 2021,Vitória tá com cu na mão depois do papo de mandar alguém que ainda não foi pro paredão hahahahah #bbb21,,,[]
2890762929,706489853748355073,Thu Mar 04 23:47:36 +0000 2021,"@PortalRunik Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",1367622495302475777,,"[""2890762929""]"
1367622758713163778,1285004824543735808,Thu Mar 04 23:47:29 +0000 2021,"Acho que a prova do líder hoje é de sorte, pq eles não vão colocar resistência para um paredão falso #BBB21",,,[]
1367622727335559168,1323416221,,Hoje eu to torcendo pra ganhar o líder qualquer um que coloque a Juliette no paredão \n\n#BBB21 https://t.co/DIqVhL13d8,,,[]
14994303,1331763174077591552,Thu Mar 04 23:47:06 +0000 2021,"@boninho adia o paredão falso, que essa semana só vai gente uo #BBB21",,,"[""14994303""]"
1367622657714323458,409989376,Thu Mar 04 23:47:05 +0000 2021,"Que raiva toda vez que eu olho pra cara dessa Viih Tube, me dá vontade de vomitar. Falso do inferno, não vai pro paredão tão cedo. Que ódio 😡😡😡😡 #BBB21",,,[]
1367622636885471235,706489853748355073,Thu Mar 04 23:47:00 +0000 2021,"@YanRComenta Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",1367622421927313408,,[]
1492483633256583173,706489853748355073,Thu Mar 04 23:46:42 +0000 2021,"@TaisaComenta Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",,,"[""1492483633256583173""]"
1367608186124070924,132699857,Thu Mar 04 22:49:35 +0000 2021,Quem vocês querem que ganhe o líder hoje no #BBB21? 👑,,,[]
1367608186124070924,132699857,Thu Mar 04 23:46:35 +0000 2021,hoje é dia de torcer pro inimigo pra ter minha juju no paredão falso #bbb21,,,[]
1367622032523943939,3208259663,,Dependendo de quem ganhar o líder hoje o paredão falso pode ser muito bom ou muito ruim. Qual é o seu favorito até agora? #BBB21 https://t.co/IrMpWbN8Dj,,,[]
1367622023791456261,1354269160658841602,Thu Mar 04 23:44:34 +0000 2021,essa prova podia ter a dinâmica de quem foi saindo pegar CONSEQUÊNCIA e ter duas carta de paredão e não ter bate volta E A JULIETTE PEGAR KKKKKKKKKKK AAAAAAAAAAAA #BBB21,,,[]
179185127,1346169678704553986,Thu Mar 04 23:43:59 +0000 2021,"Thaís só se lembra que tá no jogo perto do paredão. Aí começa a fazer drama e chorar pra não ser votar. Quer queira ou não é um jogo, e tem funcionado até agora já que a mesma não foi ao paredão. 🤷🏻‍♀️ Será que teremos Thaís na final?! 🤔😅 @bbb #BBB21",,,"[""179185127""]"
1367621681393639430,1179580735876935680,Thu Mar 04 23:43:12 +0000 2021,O povo perseguindo lá dentro só dá enredo pra Carla e se ela for pro paredão fake então já era.... \n\n#BBB21,,,[]
14994303,833682516028559360,Thu Mar 04 23:43:00 +0000 2021,"Juliette no paredão falso, a Globo ia bater 40 ponto fácil. ia ser muito icônico. \n\n@boninho eu conto contigo #BBB21",,,"[""14994303""]"
1367621619431182337,706489853748355073,Thu Mar 04 23:42:57 +0000 2021,"@kawnary Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",1367617553573568513,,[]
1367621596412837891,864895344391409665,Thu Mar 04 23:42:52 +0000 2021,"Imagina a Pocah no paredão falso? Vendo o povo falar mal da Carla.\nELA VAI DESCER QUEBRANDO TUDO\n\nUMA POSSIBILIDADE, PERFEITA POR SINAL\n\n#BBB21",,,[]
1367621549486915585,1088292637642317827,Thu Mar 04 23:42:41 +0000 2021,Esse paredão tem que ter uma dinâmica pra cair a pessoa certa no PAREDÃO FALSO.  #BBB21,,,[]
789995979567169536,706489853748355073,Thu Mar 04 23:42:32 +0000 2021,"@ssarahandrade @gshow Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",1367617369447817222,,"[""789995979567169536""]"
1367621488325648386,402859001,,"Podia tanto ser prova de resistência pra pessoa se matar na prova, indicar alguém a pessoa ir pro paredão falso e voltar surrando o líder #BBB21 https://t.co/m8isRMFpJu",,,[]
1367621464703262721,213368679,Thu Mar 04 23:42:21 +0000 2021,Vem paredão falso! \n#carthur #redebbb #bbb21,,,[]
1367621402900258824,2872972583,Thu Mar 04 23:42:06 +0000 2021,Nunca torci tanto p o arthur ou probosta ganharem a liderança!!!!!! Assim vão indicar ju ou sarah direto p o paredao fake.....Deeeeeeeuuuuussss nunca te implorei tanto! \n#bbb21aovivo #bbb21,,,[]
1367621369429655552,1361459461064445952,Thu Mar 04 23:41:58 +0000 2021,"pra mim a sara é a melhor pra cair no paredão falso, otima jogadora e do quarto ela vai ler o jogo e entender tudo #BBB211 #BBB21",,,[]
789995979567169536,706489853748355073,Thu Mar 04 23:41:02 +0000 2021,"@ssarahandrade @gshow Sarah falou que Carla é sonsa? \nQue ela prejudica o Arthur?\nQue as atitudes da Carla foram piores que da Karol e Nego Di?\nQue Carla era medíocre sim pq é o mesmo q mediana?\nQue se Carla bater no paredão ela sai?\nQue Carla é vtzeira?\nEntão não, ela não falou na cara! \n#BBB21",1367616375603216385,,"[""789995979567169536""]"
1367621128110358528,1303772932867579906,Thu Mar 04 23:41:00 +0000 2021,"O paredão falso com a Carla tem tudo pra flopar. Por mais que ela veja coisas ruins sobre ela, ela não tem o carisma da Gleici, e nem a força da Ana Paula pra enfrentar as pessoas que falaram mal dela. No máximo mais das palestras diárias que já estamos cansados. #BBB21",,,[]
1367621078705651719,1034252506178748416,,"#RedeBBB #bbb21aovivo #BBB21\n#ProvaDoLider #ForaProjota \nQuem você gostaria que fosse o indicado para voltar, após o Paredão Falso???",,,[]
1367620974359773193,34021358,Thu Mar 04 23:40:24 +0000 2021,Tá uma discussão feia entre torcidas da Sarah e da Juliette. Imagina um paredão duplo entre elas? \n\n#bbb21,,,[]
1367620890251386887,952605982739320832,,@PortalTracklist nego di fiuk gilberto lucas projota pocah carla diaz rodolfo caio karol conká thais lumena festa tiago boninho big brother viih tube sarah arthur paredão bbb grammy #bbb21 #RedeBBB \n https://t.co/b3anAxYcMP,1367620403905101830,,[]
1367620839055761410,1261055819644391425,Thu Mar 04 23:39:51 +0000 2021,gente o tiago confirmou sobre o paredão falso ou foi só pelas interações com o boninho ? #BBB21,,,[]
1367620635019640838,1208158462879895553,Thu Mar 04 23:39:03 +0000 2021,#BBB21\n\nQuem vocês acham que vai para o paredão falso?,,,[]
